Provincia,Niveles,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Cuenca,Extremo,0,0,0,0,0,0,"19,35","12,9","3,33",0,0,0,"3,01",2020
Girona,Bajo,"58,06","24,14","45,16","63,33","29,03","73,33","12,9","9,68",60,100,80,100,"54,64",2020
Girona,Moderado,"35,48","44,83","48,39","13,33","16,13","16,67","45,16","9,68",40,0,"16,67",0,"23,77",2020
Girona,Alto,"6,45","31,03","6,45","23,33","41,94",10,"25,81","29,03",0,0,"3,33",0,"14,75",2020
Girona,Muy_Alto,0,0,0,0,"12,9",0,"16,13","45,16",0,0,0,0,"6,28",2020
Girona,Extremo,0,0,0,0,0,0,0,"6,45",0,0,0,0,"0,55",2020
Granada,Bajo,"74,19","44,83","41,94",100,"35,48",20,"3,23",0,"23,33","80,65","96,67",100,"51,64",2020
Granada,Moderado,"25,81","55,17","58,06",0,"58,06",60,"6,45",0,"36,67","3,23","3,33",0,"25,41",2020
Granada,Alto,0,0,0,0,"6,45",20,"38,71","19,35","26,67","9,68",0,0,"10,11",2020
Granada,Muy_Alto,0,0,0,0,0,0,"38,71","54,84","13,33","6,45",0,0,"9,56",2020
Granada,Extremo,0,0,0,0,0,0,"12,9","25,81",0,0,0,0,"3,28",2020
Guadalajara,Bajo,"64,52","65,52","77,42","96,67","48,39","56,67","3,23","6,45","43,33","96,77",100,100,"63,11",2020
Guadalajara,Moderado,"35,48","27,59","22,58","3,33","38,71",40,"25,81","16,13","23,33","3,23",0,0,"19,67",2020
Guadalajara,Alto,0,"6,9",0,0,"12,9","3,33","22,58","19,35","23,33",0,0,0,"7,38",2020
Guadalajara,Muy_Alto,0,0,0,0,0,0,"32,26","45,16",10,0,0,0,"7,38",2020
Guadalajara,Extremo,0,0,0,0,0,0,"16,13","12,9",0,0,0,0,"2,46",2020
Gipuzkoa,Bajo,"48,39","31,03","51,61","56,67","25,81","56,67","25,81","35,48","43,33","93,55",60,"96,77","52,19",2020
Gipuzkoa,Moderado,"38,71","55,17","32,26","26,67","32,26","16,67","19,35","9,68","6,67",0,20,"3,23","21,58",2020
Gipuzkoa,Alto,"12,9","10,34","16,13","13,33","22,58","26,67","19,35","12,9",10,"6,45",20,0,"14,21",2020
Gipuzkoa,Muy_Alto,0,"3,45",0,"3,33","19,35",0,"22,58","19,35",20,0,0,0,"7,38",2020
