Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Gipuzkoa;Cuartil_3;1,0;1,0;2,0;1,6;3,5;3,3;4,8;4,8;4,7;4,6;1,1;1,2;3,1
Gipuzkoa;Maximo;3,9;1,8;3,9;4,2;4,8;5,0;5,0;5,0;5,0;5,0;4,0;3,5;5,0
Huelva;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0
Huelva;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,3;3,2;1,7;1,0;1,0;1,0;1,0;1,0
Huelva;Mediana;1,0;1,0;1,0;1,0;1,0;2,8;4,0;2,3;1,1;1,0;1,0;1,0;1,0
Huelva;Media;1,0;1,1;1,0;1,0;1,8;2,7;3,9;2,5;1,5;1,2;1,0;1,0;1,6
Huelva;Cuartil_3;1,0;1,0;1,0;1,0;2,3;3,8;4,9;3,2;1,9;1,3;1,0;1,0;1,9
Huelva;Maximo;1,1;2,4;1,0;1,8;4,7;4,9;5,0;4,9;3,6;3,0;1,0;1,0;5,0
Huesca;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0
Huesca;Cuartil_1;1,0;1,4;1,0;1,0;1,4;2,6;2,7;2,8;1,3;1,0;1,0;1,0;1,0
Huesca;Mediana;1,3;1,9;1,0;1,1;2,5;4,0;4,0;3,5;1,9;1,3;1,0;1,0;1,4
Huesca;Media;1,3;1,7;1,1;1,5;2,6;3,6;3,6;3,4;2,1;1,5;1,1;1,0;2,1
Huesca;Cuartil_3;1,5;2,0;1,1;1,9;3,6;4,6;4,6;4,3;2,7;2,0;1,1;1,0;2,7
Huesca;Maximo;2,3;2,3;2,2;3,7;4,8;5,0;5,0;5,0;4,2;2,5;1,3;1,1;5,0
Jaen;Minimo;1,0;1,0;1,0;1,0;1,0;1,2;2,7;1,4;1,0;1,0;1,0;1,0;1,0
Jaen;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,3;3,9;3,3;1,0;1,0;1,0;1,0;1,0
Jaen;Mediana;1,0;1,0;1,0;1,0;1,0;3,2;4,4;3,9;1,5;1,4;1,0;1,0;1,0
Jaen;Media;1,0;1,0;1,0;1,0;1,6;3,3;4,3;3,7;2,0;1,6;1,2;1,0;1,9
Jaen;Cuartil_3;1,0;1,0;1,0;1,0;1,8;4,6;4,9;4,2;2,9;2,0;1,3;1,0;2,9
Jaen;Maximo;1,0;1,2;1,0;1,0;4,2;4,9;5,0;4,6;4,3;3,4;2,2;1,0;5,0
Leon;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,3;1,5;1,0;1,0;1,0;1,0;1,0
Leon;Cuartil_1;1,0;1,0;1,0;1,0;1,4;1,0;3,4;3,3;1,3;1,0;1,0;1,0;1,0
Leon;Mediana;1,0;1,2;1,0;1,0;1,8;1,7;3,9;4,0;2,3;1,0;1,0;1,0;1,1
Leon;Media;1,1;1,3;1,0;1,2;2,1;1,9;3,7;3,8;2,5;1,4;1,0;1,0;1,8
Leon;Cuartil_3;1,1;1,5;1,0;1,3;2,5;2,4;4,6;4,4;3,4;1,6;1,0;1,0;2,3
Leon;Maximo;1,8;1,7;1,2;1,8;4,0;4,3;5,0;5,0;4,9;3,0;1,1;1,0;5,0
Lleida;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Lleida;Cuartil_1;1,3;1,3;1,0;1,0;1,2;3,3;3,1;2,7;1,3;1,1;1,0;1,0;1,0
Lleida;Mediana;1,4;1,6;1,0;1,2;2,3;4,2;4,2;3,5;1,8;1,5;1,2;1,0;1,5
Lleida;Media;1,5;1,7;1,1;1,5;2,5;3,8;3,6;3,2;2,1;1,5;1,3;1,1;2,1
Lleida;Cuartil_3;1,8;2,1;1,2;1,8;3,6;4,6;4,6;3,9;3,0;1,9;1,5;1,1;2,8
Lleida;Maximo;2,3;2,6;2,2;3,1;4,8;5,0;5,0;4,8;3,6;2,5;2,4;1,4;5,0
La Rioja;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,8;1,0;1,0;1,0;1,0;1,0
La Rioja;Cuartil_1;1,0;1,0;1,0;1,0;1,1;2,4;3,8;3,8;3,0;1,7;1,0;1,0;1,0
La Rioja;Mediana;1,0;1,1;1,0;1,0;1,5;3,3;4,7;4,4;4,2;2,4;1,0;1,0;1,4
La Rioja;Media;1,2;1,3;1,0;1,2;2,0;3,3;4,2;4,2;3,7;2,7;1,4;1,0;2,3
La Rioja;Cuartil_3;1,3;1,3;1,0;1,0;2,6;4,3;4,9;4,8;4,7;3,6;1,7;1,0;3,7
La Rioja;Maximo;2,0;2,5;1,6;2,5;4,5;5,0;5,0;5,0;5,0;4,8;2,9;1,2;5,0
Lugo;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Lugo;Cuartil_1;1,0;1,0;1,0;1,0;1,1;1,0;2,4;2,8;1,1;1,0;1,0;1,0;1,0
Lugo;Mediana;1,0;1,0;1,0;1,0;1,6;1,0;3,2;3,6;2,2;1,0;1,0;1,0;1,0
Lugo;Media;1,1;1,2;1,0;1,2;1,7;1,2;3,1;3,3;2,1;1,3;1,0;1,0;1,6
Lugo;Cuartil_3;1,2;1,3;1,0;1,0;2,2;1,0;3,9;3,9;2,8;1,5;1,0;1,0;1,9
Lugo;Maximo;1,7;2,2;1,9;2,7;2,8;2,4;4,7;4,9;4,0;2,8;1,7;1,3;4,9
Madrid;Minimo;1,0;1,0;1,0;1,0;1,0;1,4;1,8;1,2;1,0;1,0;1,0;1,0;1,0
Madrid;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,4;3,3;2,9;1,0;1,0;1,0;1,0;1,0
Madrid;Mediana;1,0;1,0;1,0;1,0;1,0;3,1;4,1;3,6;1,1;1,0;1,0;1,0;1,0
Madrid;Media;1,0;1,1;1,0;1,0;1,2;3,1;4,0;3,4;1,8;1,1;1,0;1,0;1,7
Madrid;Cuartil_3;1,0;1,1;1,0;1,0;1,3;3,9;4,9;4,1;2,7;1,1;1,0;1,0;2,2
Madrid;Maximo;1,2;1,4;1,0;1,2;2,5;4,8;5,0;4,9;4,0;2,8;1,0;1,0;5,0
Malaga;Minimo;1,0;1,0;1,0;1,0;1,0;1,6;1,1;1,8;1,0;1,0;1,0;1,0;1,0
Malaga;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,0;2,9;2,8;1,2;1,1;1,1;1,0;1,0
Malaga;Mediana;1,0;1,0;1,0;1,0;1,0;3,1;3,6;3,5;2,5;1,7;1,3;1,0;1,1
Malaga;Media;1,0;1,1;1,0;1,0;1,4;3,1;3,5;3,4;2,4;1,9;1,5;1,0;1,9
Malaga;Cuartil_3;1,0;1,1;1,0;1,0;1,8;4,2;4,4;4,2;3,3;2,3;1,8;1,0;2,7
Malaga;Maximo;1,3;1,6;1,0;1,1;2,8;4,6;4,9;4,6;4,0;4,3;3,4;1,1;4,9
Murcia;Minimo;1,0;1,0;1,0;1,0;1,0;1,2;1,5;1,2;1,0;1,0;1,0;1,0;1,0
Murcia;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,5;2,7;3,2;1,1;1,0;1,1;1,0;1,0
Murcia;Mediana;1,0;1,0;1,0;1,0;1,0;3,3;4,1;4,1;1,6;1,1;1,2;1,0;1,1
Murcia;Media;1,1;1,2;1,0;1,0;1,5;3,4;3,6;3,8;2,0;1,2;1,4;1,0;1,9
Murcia;Cuartil_3;1,0;1,3;1,0;1,0;1,9;4,2;4,6;4,7;2,9;1,3;1,6;1,0;2,6
Murcia;Maximo;2,0;1,9;1,0;1,0;3,6;4,9;4,9;4,9;3,7;2,3;3,0;1,4;4,9
Navarra;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,0;2,2;1,2;1,0;1,0;1,0;1,0
